date,daily_sales
2010-12-01,42233.78000000018
2010-12-02,47123.679999999884
2010-12-03,18835.69000000006
2010-12-05,25849.850000000173
2010-12-06,29707.300000000178
2010-12-07,51037.74000000011
2010-12-08,35213.40000000017
2010-12-09,28589.35000000016
2010-12-10,28749.97000000011
2010-12-12,13715.18000000003
2010-12-13,26749.22000000005
2010-12-14,26528.480000000152
2010-12-15,30115.830000000107
2010-12-16,47425.26999999996
2010-12-17,9655.860000000013
2010-12-19,6536.419999999993
2010-12-20,16546.330000000045
2010-12-21,5825.529999999999
2010-12-22,4175.4
2010-12-23,3967.5699999999965
2011-01-04,11577.89999999999
2011-01-05,27412.450000000117
2011-01-06,26406.790000000125
2011-01-07,17617.90000000004
2011-01-09,14306.040000000012
2011-01-10,11628.989999999993
2011-01-11,53585.08000000005
2011-01-12,14289.000000000011
2011-01-13,12809.20000000002
2011-01-14,9866.79
2011-01-16,7242.0599999999795
2011-01-17,13503.790000000028
2011-01-18,84023.33999999998
2011-01-19,9152.939999999997
2011-01-20,10352.579999999996
2011-01-21,15216.880000000005
2011-01-23,9885.749999999969
2011-01-24,11976.259999999995
2011-01-25,19062.510000000024
2011-01-26,13900.330000000018
2011-01-27,16739.680000000022
2011-01-28,12243.629999999996
2011-01-30,6615.749999999991
2011-01-31,12759.42000000002
2011-02-01,23376.200000000023
2011-02-02,15940.080000000042
2011-02-03,18852.750000000065
2011-02-04,15571.88000000002
2011-02-06,3457.1099999999965
2011-02-07,21161.10000000001
2011-02-08,12393.040000000014
2011-02-09,4715.209999999993
2011-02-10,13525.00000000002
2011-02-11,16012.000000000011
2011-02-13,5713.629999999991
2011-02-14,18841.53000000005
2011-02-15,17358.92000000005
2011-02-16,19420.840000000026
2011-02-17,15468.89
2011-02-18,12917.36000000002
2011-02-20,9624.69000000003
2011-02-21,10549.8
2011-02-22,25948.780000000053
2011-02-23,17039.810000000027
2011-02-24,19781.490000000045
2011-02-25,16658.040000000023
2011-02-27,9003.349999999973
2011-02-28,12274.130000000032
2011-03-01,12668.970000000005
2011-03-02,17842.850000000013
2011-03-03,14253.730000000003
2011-03-04,14479.440000000015
2011-03-06,9997.419999999982
2011-03-07,19402.070000000047
2011-03-08,19725.79000000005
2011-03-09,17674.53000000002
2011-03-10,16104.780000000013
2011-03-11,15821.390000000001
2011-03-13,3804.8299999999967
2011-03-14,18688.78000000005
2011-03-15,10663.509999999995
2011-03-16,19988.210000000036
2011-03-17,25166.960000000072
2011-03-18,20264.100000000002
2011-03-20,18571.55000000007
2011-03-21,15497.830000000024
2011-03-22,15738.300000000008
2011-03-23,17283.29000000001
2011-03-24,33742.19000000008
2011-03-25,20860.689999999984
2011-03-27,9060.349999999995
2011-03-28,15496.779999999993
2011-03-29,18943.020000000033
2011-03-30,25863.11000000006
2011-03-31,19194.120000000003
2011-04-01,22090.200000000037
2011-04-03,6918.499999999998
2011-04-04,19084.970000000023
2011-04-05,18547.910000000018
2011-04-06,11766.330000000018
2011-04-07,14088.060000000027
2011-04-08,19535.900000000005
2011-04-10,9437.489999999969
2011-04-11,17592.57000000003
2011-04-12,23673.39000000011
2011-04-13,22985.13000000003
2011-04-14,30923.940000000104
2011-04-15,15724.421000000017
2011-04-17,11648.539999999999
2011-04-18,40272.02999999995
2011-04-19,15181.830000000024
2011-04-20,24581.15000000001
2011-04-21,23984.230000000003
2011-04-26,20551.690000000035
2011-04-27,21697.5
2011-04-28,19203.410000000036
2011-05-01,5879.329999999994
2011-05-03,17780.110000000055
2011-05-04,24794.910000000094
2011-05-05,21481.350000000057
2011-05-06,25601.91000000005
2011-05-08,16912.44000000002
2011-05-09,19627.700000000015
2011-05-10,27250.970000000074
2011-05-11,27145.37000000011
2011-05-12,26585.91000000001
2011-05-13,22652.670000000002
2011-05-15,8924.869999999999
2011-05-16,30334.719999999998
2011-05-17,32337.01000000004
2011-05-18,29700.98000000006
2011-05-19,26350.83999999998
2011-05-20,22879.86000000004
2011-05-22,21616.570000000043
2011-05-23,23693.959999999985
2011-05-24,31775.890000000098
2011-05-25,17844.54000000001
2011-05-26,21583.029999999995
2011-05-27,19313.07000000003
2011-05-29,6811.569999999986
2011-05-31,14377.490000000013
2011-06-01,9210.979999999989
2011-06-02,25990.800000000057
2011-06-03,13155.640000000012
2011-06-05,19511.230000000036
2011-06-06,13618.040000000039
2011-06-07,32644.0900000001
2011-06-08,23545.490000000067
2011-06-09,36926.96
2011-06-10,50930.64000000001
2011-06-12,11528.829999999982
2011-06-13,13938.510000000011
2011-06-14,33334.47000000013
2011-06-15,15041.169999999987
2011-06-16,28619.650000000023
2011-06-17,14021.470000000003
2011-06-19,15765.389999999998
2011-06-20,17482.460000000043
2011-06-21,16510.27999999999
2011-06-22,16501.900000000005
2011-06-23,20232.080000000024
2011-06-24,13783.659999999996
2011-06-26,6276.009999999983
2011-06-27,12394.640000000016
2011-06-28,16369.629999999988
2011-06-29,9641.740000000003
2011-06-30,37862.70000000009
2011-07-01,9511.049999999992
2011-07-03,6032.389999999991
2011-07-04,24946.370000000064
2011-07-05,24441.87000000002
2011-07-06,18129.200000000015
2011-07-07,25901.67
2011-07-08,14736.480000000007
2011-07-10,5993.869999999983
2011-07-11,17517.170000000024
2011-07-12,15680.520000000011
2011-07-13,13687.31999999999
2011-07-14,24360.280000000042
2011-07-15,9521.149999999992
2011-07-17,16463.27000000005
2011-07-18,15402.500000000007
2011-07-19,29171.37000000003
2011-07-20,24965.81000000002
2011-07-21,26473.989999999972
2011-07-22,12975.679999999982
2011-07-24,25089.53000000002
2011-07-25,15845.500000000004
2011-07-26,16000.090999999979
2011-07-27,16550.150000000027
2011-07-28,46586.150000000074
2011-07-29,15833.769999999977
2011-07-31,13570.700000000004
2011-08-01,17959.660000000018
2011-08-02,13634.549999999988
2011-08-03,24918.630000000092
2011-08-04,53726.9500000001
2011-08-05,15396.070000000018
2011-08-07,7469.559999999993
2011-08-08,17281.529999999995
2011-08-09,13355.42999999997
2011-08-10,16375.299999999996
2011-08-11,32488.72000000003
2011-08-12,12478.939999999984
2011-08-14,5671.9199999999955
2011-08-15,13110.459999999994
2011-08-16,15561.400000000018
2011-08-17,45631.05000000007
2011-08-18,26381.920000000064
2011-08-19,12862.029999999997
2011-08-21,11759.090000000011
2011-08-22,26609.28000000004
2011-08-23,17769.559999999987
2011-08-24,35969.33000000011
2011-08-25,18238.22000000004
2011-08-26,13269.809999999989
2011-08-28,9558.539999999977
2011-08-30,8292.789999999999
2011-08-31,12461.46
2011-09-01,29013.32
2011-09-02,26623.990000000107
2011-09-04,13093.459999999977
2011-09-05,24395.539999999983
2011-09-06,20044.190000000035
2011-09-07,15647.370000000006
2011-09-08,18051.760000000006
2011-09-09,19156.820000000003
2011-09-11,33695.40000000018
2011-09-12,27989.400000000063
2011-09-13,35067.74999999999
2011-09-14,19682.510000000093
2011-09-15,67876.43999999994
2011-09-16,21472.089999999997
2011-09-18,15745.73000000003
2011-09-19,19133.63999999998
2011-09-20,100475.2299999999
2011-09-21,29689.970000000085
2011-09-22,46695.69000000007
2011-09-23,23880.48000000006
2011-09-25,28749.491000000085
2011-09-26,26168.79000000012
2011-09-27,27596.159999999996
2011-09-28,32117.130000000117
2011-09-29,41286.7100000001
2011-09-30,31338.3800000001
2011-10-02,11582.950000000012
2011-10-03,61427.30000000005
2011-10-04,37291.84000000012
2011-10-05,47006.12999999995
2011-10-06,52558.88999999987
2011-10-07,42327.319999999905
2011-10-09,12466.810000000007
2011-10-10,36572.68000000012
2011-10-11,36664.39000000008
2011-10-12,20410.80000000003
2011-10-13,22915.03000000009
2011-10-14,22164.67
2011-10-16,22010.96000000007
2011-10-17,30478.230000000156
2011-10-18,30769.470000000154
2011-10-19,23012.79000000005
2011-10-20,29108.390000000134
2011-10-21,52604.41000000005
2011-10-23,12339.160000000013
2011-10-24,36907.25999999995
2011-10-25,33068.04000000005
2011-10-26,29855.500000000116
2011-10-27,33263.520000000106
2011-10-28,25669.46000000009
2011-10-30,30582.120000000094
2011-10-31,27974.340000000044
2011-11-01,25110.950000000135
2011-11-02,31751.01000000004
2011-11-03,56938.18999999996
2011-11-04,50908.72999999989
2011-11-06,33155.730000000214
2011-11-07,25956.300000000054
2011-11-08,35826.08999999996
2011-11-09,59144.919999999845
2011-11-10,54500.36000000022
2011-11-11,28498.26000000003
2011-11-13,24543.92000000011
2011-11-14,51763.499999999956
2011-11-15,38243.000000000124
2011-11-16,38278.0800000002
2011-11-17,36473.06000000017
2011-11-18,28864.920000000086
2011-11-20,26697.370000000068
2011-11-21,40700.60000000001
2011-11-22,43431.93000000019
2011-11-23,55222.929999999906
2011-11-24,30561.680000000048
2011-11-25,22978.56000000002
2011-11-27,16471.050000000007
2011-11-28,45773.860000000044
2011-11-29,41509.76000000005
2011-11-30,31900.700000000066
2011-12-01,41339.779999999904
2011-12-02,40707.470000000096
2011-12-04,17390.66000000001
2011-12-05,53313.97999999993
2011-12-06,42069.400000000285
2011-12-07,49238.47000000013
2011-12-08,47147.37000000015
2011-12-09,179562.77999999994
